iter	Passed	Remaining
0	1	176
1	3	162
2	5	162
3	6	153
4	8	163
5	10	160
6	11	151
7	12	149
8	14	147
9	16	152
10	18	150
11	20	148
12	22	149
13	23	147
14	25	144
15	27	142
16	28	140
17	30	139
18	32	136
19	33	135
20	35	132
21	37	131
22	39	130
23	40	129
24	42	127
25	44	126
26	46	124
27	47	122
28	49	121
29	51	120
30	53	118
31	55	117
32	57	115
33	58	113
34	60	111
35	61	110
36	64	109
37	65	107
38	67	106
39	69	104
40	71	103
41	73	101
42	74	98
43	75	96
44	77	94
45	79	92
46	81	91
47	83	90
48	85	88
49	87	87
50	88	85
51	91	84
52	92	82
53	95	81
54	99	81
55	102	80
56	106	79
57	108	78
58	110	77
59	112	75
60	115	73
61	117	71
62	119	69
63	120	68
64	123	66
65	125	64
66	127	62
67	131	61
68	149	67
69	151	64
70	153	62
71	154	60
72	157	58
73	160	56
74	162	54
75	164	51
76	165	49
77	167	47
78	169	45
79	171	42
80	174	40
81	176	38
82	177	36
83	179	34
84	181	31
85	183	29
86	185	27
87	188	25
88	189	23
89	191	21
90	193	19
91	195	17
92	197	14
93	199	12
94	202	10
95	204	8
96	206	6
97	208	4
98	210	2
99	212	0
